Nome,Arquitetura,Mutation Score,Idade (anos)
JavaToCSharp,MVVM,58.18,11.55
VidCoder,MVVM,11.93,9.47
cofoundry,MVC,8.41,8.69
btcpayserver,MVC,10.30,7.74
AspNetCore.Proxy,MVC,65.30,7.61
AStar,MVVM,51.75,7.79
SlackNet,MVC,45.25,7.83
vc-storefront,MVC,3.43,7.69
MinimalApi,MVC,8.20,3.85
MinimalApiArchitecture,MVC,50.00,3.52
SeoTags,MVC,1.72,3.87
AvaloniaEdit,MVVM,100.00,8.06
Estranged.Lfs,MVC,30.67,7.95
OnlyT,MVVM,88.76,7.69
OnlyR,MVVM,0.00,7.73
Wirehome.Core,MVC,1.35,6.9
DevBetterWeb,MVC,7.18,6.59
Subloader,MVVM,71.30,6.52
MMLib.SwaggerForOcelot,MVC,48.67,6.47
serilog-enrichers-clientinfo,MVC,65.91,5.44
Domain-Driven-Design-Sample,MVC,27.17,5.34
Camelot,MVVM,54.68,5.15
serilog-ui,MVC,100.00,5.11
youtube-dl-wpf,MVVM,1.37,5.07
OpenBullet2,MVC,19.98,5.06
YoutubeExplode,MVVM,50.62,8.76
serilog-aspnetcore,MVC,46.15,7.72
microwf,MVC,41.98,7.71
Parbad,MVC,N/A,6.85
MailDemon,MVC,3.53,6.85
jellyfin,MVC,0.85,6.43
Gress,MVVM,74.68,6.28
SlimFaas,MVC,41.39,2.19
CleanArchitecture,MVC,20.19,2.19
ASP.NET-Core-Vertical-Slice-Architecture,MVC,27.61,1.68
AspNetCoreRateLimit,MVC,55.23,8.82
NToastNotify,MVC,9.71,8.76
dotnet-fake-json-server,MVC,58.54,8.14
AuthEndpoints,MVC,18.28,3.08
banking-kata-dotnet,MVC,74.53,3.04
SOTFEdit,MVVM,23.53,2.19
coravel,MVC,54.58,6.92
Namotion.Reflection,MVC,55.93,6.12
aspnetcore-webapi-template,MVC,0.00,4.63
httpstatus,MVC,66.45,14.28
alba,MVC,55.06,9.45
bonsai,MVC,10.08,7.61
GraphQL.EntityFramework,MVC,90.69,6.84
JASM,MVVM,3.46,1.71
FluentResults,MVC,100.00,8.18
memstate,MVC,28.14,7.9
HuoHuan,MVVM,100.00,3.41
dasblog-core,MVC,22.95,7.56
OpenAI-DotNet,MVC,12.38,4.04
CleanMinimalApi,MVC,72.79,3.58
Librum-Server,MVC,5.36,3.02
Letterbook,MVC,25.95,1.91
MTConnect.NET,MVC,26.19,8.97
CronScheduler.AspNetCore,MVC,36.48,6.77
Soulseek.NET,MVC,71.45,6.58
core-admin,MVC,61.42,4.99
JsonApiDotNetCore,MVC,42.65,8.73
serilog-sinks-http,MVC,69.20,8.54
xunit-logging,MVC,31.79,6.74
ps3-disc-dumper,MVVM,5.72,6.49
QueryKit,MVC,40.57,2.05
TailBlazer,MVVM,15.75,9.52
webapiclientgen,MVC,15.80,8.1
FeedR,MVC,0.00,3.43
WinClean,MVVM,9.56,2.86
