Nome,Proprietário,Estrelas,SDK,Arquitetura,Diretório SLN,Killed,Survived,Timeout,Time Elapsed,Mutation Score,Total Mutants,Mutants Compile Error,Mutants No Coverage,Mutants Ignored,Mutants Tested,Erro,Cobertura Linha (%),Cobertura Método (%)
JavaToCSharp,paulirwin,281,8.0.x,MVVM,,676,170,3,00:06:48.7304192,58.18,1655,227,318,261,806,,73.11%,76.80%
VidCoder,RandomEngy,743,8.0.x,MVVM,,130,45,4,00:01:09.8697971,11.93,1551,187,944,241,1372,,13.73%,14.82%
cofoundry,cofoundry-cms,874,8.0.x,MVC,,1219,1028,0,01:14:29.8168552,8.41,19749,892,12256,4354,17502,,17.18%,13.43%
btcpayserver,btcpayserver,6646,8.0.x,MVC,,2155,387,621,02:03:21.5297008,10.30,35597,2913,23596,5724,32434,,9.29%,10.90%
AspNetCore.Proxy,twitchax,536,8.0.x,MVC,,168,91,7,00:02:21.8176693,65.30,357,36,2,53,91,,99.85%,100.00%
AStar,roy-t,342,8.0.x,MVVM,,178,56,14,00:01:15.7823863,51.75,491,30,123,90,243,,79.22%,67.00%
SlackNet,soxtoby,223,8.0.x,MVC,,904,684,10,00:06:34.1361731,45.25,2396,146,422,230,798,,51.17%,38.87%
vc-storefront,VirtoCommerce,213,8.0.x,MVC,,146,146,0,00:01:32.0183601,3.43,5828,286,3969,1277,5536,,1.45%,3.45%
MinimalApi,anuraj,246,8.0.x,MVC,,35,65,0,00:00:56.5909715,8.20,469,3,258,39,369,,30.40%,66.10%
MinimalApiArchitecture,isaacOjeda,172,8.0.x,MVC,,83,9,0,00:01:13.7389468,50.00,210,N/A,74,44,118,,6.97%,23.07%
SeoTags,mjebrahimi,163,8.0.x,MVC,,17,0,0,00:00:31.9782578,1.72,1218,23,970,208,1201,,57.55%,58.33%
AvaloniaEdit,AvaloniaUI,845,8.0.x,MVVM,,0,0,12405,00:03:30.3430041,100.00,16286,715,N/A,3161,3881,,41.38%,44.36%
Estranged.Lfs,alanedwardes,128,8.0.x,MVC,,23,32,0,00:00:39.5221826,30.67,107,6,20,26,52,,37.60%,22.85%
OnlyT,AntonyCorbett,116,8.0.x,MVVM,,6,40,807,00:17:23.8126441,88.76,1176,15,63,245,323,,17.38%,17.76%
OnlyR,AntonyCorbett,104,8.0.x,MVVM,,0,126,0,00:00:56.3384817,0.00,1707,56,871,438,1581,,0.00%,0.00%
Wirehome.Core,chkr1011,258,8.0.x,MVC,,58,11,4,00:01:03.3139385,1.35,6815,280,4511,1947,6742,,1.63%,1.82%
DevBetterWeb,DevBetterCom,142,8.0.x,MVC,,336,485,2,00:50:52.1092690,7.18,5824,153,3885,963,5001,,1.99%,7.10%
Subloader,Valyreon,104,8.0.x,MVVM,,154,48,0,00:00:32.7181113,71.30,273,14,9,43,71,,84.38%,97.71%
MMLib.SwaggerForOcelot,Burgyn,360,8.0.x,MVC,,238,91,0,00:01:47.9495355,48.67,667,31,160,147,338,,67.90%,70.09%
serilog-enrichers-clientinfo,serilog-contrib,103,8.0.x,MVC,,29,13,0,00:00:32.2876682,65.91,68,14,2,10,26,,90.74%,92.30%
Domain-Driven-Design-Sample,henriquelourente,254,8.0.x,MVC,,93,19,1,00:13:17.3905891,27.17,449,1,139,102,336,,74.48%,64.00%
Camelot,IngvarX,517,8.0.x,MVVM,,1471,441,47,00:39:12.2302026,54.68,3864,216,817,872,1905,,32.14%,16.66%
serilog-ui,serilog-contrib,242,8.0.x,MVC,,0,0,724,00:03:20.6715600,100.00,891,25,N/A,142,167,,0.00%,0.00%
